ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
133246,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Not NJ Resident,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,20,,Caucasian or White,202320,R
132899,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Atlantic,NAMS,PHYS-BS,BS,PHYS,Applied Physics,PHYS-BS,COND,25,,Caucasian or White,202320,R
133149,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,17,Ocean,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,GENE,20,Y,Caucasian or White,202320,R
133186,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Gloucester,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FPSY,21,,Hispanic or Latino,202320,R
133214,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,12,Morris,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,20,Y,Caucasian or White,202320,R
133227,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Gloucester,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,COND,21,,Caucasian or White,202320,R
133266,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Not NJ Resident,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,Y,Non Resident Alien,202320,N
133287,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Atlantic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,COND,21,,Asian,202320,R
133330,Male,First-Time,Regular,Degree-Seeking,FT,First-Year,16,Warren,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,COND,20,Y,Asian,202320,R
123589,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Camden,EDUC,MAED,MA,EDUC,Education,MAED,SUPR,44,,Asian,202320,R
124132,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Burlington,BUSN,MBA,MBA,BSNS,Business Studies,MBA,MFIN,25,,Caucasian or White,202320,R
124905,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Gloucester,BUSN,MBA,MBA,BSNS,Business Studies,MBA,MACC,23,Y,Caucasian or White,202320,R
125075,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Hunterdon,SOBL,MACJ,MA,CRIM,Criminal Justice,MACJ,HOME,23,Y,Hispanic or Latino,202320,R
125576,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,12,Monmouth,BUSN,MBA,MBA,BSNS,Business Studies,MBA,MMGT,22,,Caucasian or White,202320,R
126102,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,12,Ocean,BUSN,MBA,MBA,BSNS,Business Studies,MBA,MACC,22,,Hispanic or Latino,202320,R
127650,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,13,Ocean,HLTH,DPT,DPT,PHTH,Physical Therapy,DPT,GENE,24,,Caucasian or White,202320,R
130670,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Ocean,SOBL,MACJ,MA,CRIM,Criminal Justice,MACJ,JUST,28,,Caucasian or White,202320,R
132829,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Atlantic,ARHU,MAAS,MA,AMST,American Studies,MAAS,AMST,58,Y,More Than 1 Race,202320,N
132952,Male,First-Time,Regular,Degree-Seeking,FT,Graduate,9,Camden,NAMS,PSM,PSM,PSM,Professional Science Master's,PSM,ENSC,23,,Caucasian or White,202320,R
