,id,semester,sarappd_apdc_code,attendance_status,act_composite,rec_test_plan,fafsa_ind,rec_country_of_orig,rec_eof_location,gender,major,saradap_admt_code,program,first_gen_ind,math_readiness_ind,pckg_group_ind,concentration,housing_interest,hs_name,overall_gpa,major_desc,spraddr_cnty_code,age,saradap_majr_code_conc_1,housing,final_grade,hs_state,hs_county,saradap_styp_code_2,spraddr_stat_code,col_desc,sarappd_apdc_date,rec_completed_date,hous_dep_paid,hs_city,sat_erbw,dchs_ind,sat_math,sat_total,col_state,ethnicity
0,132318,spring,IE,ft,,I will NOT submit SAT or ACT scores,,Bangladesh,,m,CSCI,FX,CSCI,FGNN: Graduated from college: Bachelors degree,,,GENE,HO,MC College,,Computer Science,1,21,COND,,,,Out of State,F,NJ,,2022-04-20,2022-03-23,Y,Sylhet,,,,0,,Non-Resident
1,132296,,IE,,,I will NOT submit SAT or ACT scores,,Bangladesh,,m,CSCI,FX,,FGNN: Graduated from college: Bachelors degree,,,,HO,Milestone College,,,99,18,COND,,,,Out of State,F,,,2022-04-21,2022-03-21,Y,Dhaka,,,,0,,Non-Resident
2,131801,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,BIOL,FR,BIOL-BS,,,UGONN,GENE,HO,BRICK TOWNSHIP HIGH SCHOOL,,Biology,29,18,COND,Y,,NJ,Ocean,F,NJ,OCEAN COUNTY COLLEGE,2022-04-23,2022-02-21,Y,BRICKTOWN,,,,0,NJ,Native Hawaiian or other Pacific Islander
3,130864,spring,IE,ft,,I will submit SAT or ACT scores,,Sierra Leone,,f,BIOL,FI,BIOL-BS,FGNN: Graduate school,,,COND,,SOUTHERN REGIONAL HIGH SCHOOL,,Biology,29,19,COND,,,NJ,Ocean,F,NJ,,2022-03-25,2021-10-22,,MANAHAWKIN,,,,0,,Non-Resident
4,132778,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,,FGNN: Graduated from college: Bachelors degree,,UGOFFN,,HO,DELSEA REGIONAL HIGH SCHOOL,,,15,18,COND,,,NJ,Gloucester,F,NJ,,2022-08-30,2022-08-17,,FRANKLINVILLE,,,,0,,Caucasian or White
5,132743,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,BIOL,FR,,FGNY: Some college,,UGONN,,HO,BURLINGTON TWP. HIGH SCHOOL,,,5,18,COND,,,NJ,Burlington,F,NJ,,2022-08-07,2022-07-28,Y,BURLINGTON,,,,0,,Black or African American
6,132733,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,CSCI,FR,ARTV-BFA,,,UGONN,VCOM,HO,WOODBRIDGE VO-TECH,,Visual Arts,23,19,COND,Y,,NJ,Middlesex,F,NJ,,2022-08-01,2022-07-25,Y,WOODBRIDGE,,,650.0,0,,Asian
7,132719,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNN: Graduated from college: Bachelors degree,,UGWPN,GENE,,CLAYTON HIGH SCHOOL,,Health Science,15,18,COND,,,NJ,Gloucester,F,NJ,,2022-07-24,2022-07-19,,CLAYTON,500.0,,510.0,1010,,Caucasian or White
8,132691,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,EXSC,FR,,FGNN: Graduated from college: Bachelors degree,,UGOFFN,,,ABSEGAMI HIGH SCHOOL,,,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-07-05,2022-07-05,,GALLOWAY,,,,0,,Caucasian or White
9,132689,,IE,,,I will NOT submit SAT or ACT scores,Y,,,m,BIOL,FR,,,,REJISR,,HO,WINSLOW TWP. HIGH SCHOOL,,,7,18,COND,,,NJ,Camden,F,NJ,,2022-07-05,2022-06-30,Y,ATCO,,,430.0,0,,Black or African American
10,132678,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,BCMB,FR,CSCI,,,UGONN,GENE,HO,MAINLAND REGIONAL HIGH SCHOOL,,Computer Science,1,18,COND,Y,,NJ,Atlantic,F,NJ,,2022-07-09,2022-06-27,Y,LINWOOD,,,,0,,Caucasian or White
11,132639,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,CHEM,FR,CHEM-BA,FGNY: High School diploma or GED,,UGONN,COND,HO,RED BANK CATHOLIC HIGH SCHOOL,,Chemistry,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-07-07,2022-06-14,Y,RED BANK,,,420.0,0,,Black or African American
12,132635,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,CSCI,FR,BUSN-BS,FGNN: Graduated from college: Bachelors degree,,UGOFFN,MGMT,,MAINLAND REGIONAL HIGH SCHOOL,,Business Studies,1,21,COND,,,NJ,Atlantic,F,NJ,,2022-06-23,2022-06-13,,LINWOOD,,,,0,,Black or African American
13,132632,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNY: Some trade school or community college,,UGONN,COND,HO,RED BANK CATHOLIC HIGH SCHOOL,,Health Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-06-29,2022-06-13,Y,RED BANK,,,390.0,0,,Black or African American
14,132608,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,EXSC,SP,EXSC-BS,,,UGONN,COND,,ATLANTIC CITY HS,,Exercise Science,1,18,COND,Y,,NJ,Atlantic,F,NJ,,2022-06-12,2022-06-02,,ATLANTIC CITY,,,,0,,Black or African American
15,132573,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,SP,BUSN-BS,,,REJISR,MGMT,,LAKEWOOD HIGH SCHOOL,,Business Studies,29,19,COND,,,NJ,Ocean,F,NJ,,2022-07-20,2022-06-13,,LAKEWOOD,,,,0,,Hispanic or Latino
16,132564,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,FGNN: Graduated from college: Bachelors degree,,UGWPN,GENE,,EGG HARBOR TOWNSHIP HS,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-06-09,2022-05-20,,EGG HARBOR TOWNSHIP,,,,0,,Caucasian or White
17,132556,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGWPN,GENE,,CEDAR CREEK HIGH SCHOOL,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-06-26,2022-05-18,,EGG HARBOR CITY,480.0,,460.0,940,,Caucasian or White
