,id,semester,sat_math,rec_eof_location,math_readiness_ind,final_grade,concentration,program,housing,saradap_majr_code_conc_1,col_state,fafsa_ind,gender,overall_gpa,hs_county,act_composite,hs_city,major,spraddr_stat_code,sarappd_apdc_date,major_desc,age,dchs_ind,spraddr_cnty_code,hs_state,rec_test_plan,pckg_group_ind,saradap_admt_code,housing_interest,saradap_styp_code_2,attendance_status,hous_dep_paid,rec_completed_date,hs_name,sat_total,sarappd_apdc_code,sat_erbw,rec_country_of_orig,col_desc,ethnicity,first_gen_ind
0,132318,spring,,,,,GENE,CSCI,,COND,,,m,,Out of State,,Sylhet,CSCI,NJ,2022-04-20,Computer Science,21,,1,,I will NOT submit SAT or ACT scores,,FX,HO,F,ft,Y,2022-03-23,MC College,0,IE,,Bangladesh,,Non-Resident,FGNN: Graduated from college: Bachelors degree
1,132296,,,,,,,,,COND,,,m,,Out of State,,Dhaka,CSCI,,2022-04-21,,18,,99,,I will NOT submit SAT or ACT scores,,FX,HO,F,,Y,2022-03-21,Milestone College,0,IE,,Bangladesh,,Non-Resident,FGNN: Graduated from college: Bachelors degree
2,131801,spring,,,,,GENE,BIOL-BS,Y,COND,NJ,Y,m,,Ocean,,BRICKTOWN,BIOL,NJ,2022-04-23,Biology,18,,29,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-02-21,BRICK TOWNSHIP HIGH SCHOOL,0,IE,,,OCEAN COUNTY COLLEGE,Native Hawaiian or other Pacific Islander,
3,130864,spring,,,,,COND,BIOL-BS,,COND,,,f,,Ocean,,MANAHAWKIN,BIOL,NJ,2022-03-25,Biology,19,,29,NJ,I will submit SAT or ACT scores,,FI,,F,ft,,2021-10-22,SOUTHERN REGIONAL HIGH SCHOOL,0,IE,,Sierra Leone,,Non-Resident,FGNN: Graduate school
4,132778,,,,,,,,,COND,,Y,f,,Gloucester,,FRANKLINVILLE,HLSC,NJ,2022-08-30,,18,,15,NJ,I will NOT submit SAT or ACT scores,UGOFFN,FR,HO,F,,,2022-08-17,DELSEA REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,FGNN: Graduated from college: Bachelors degree
5,132743,,,,,,,,,COND,,Y,f,,Burlington,,BURLINGTON,BIOL,NJ,2022-08-07,,18,,5,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,,Y,2022-07-28,BURLINGTON TWP. HIGH SCHOOL,0,IE,,,,Black or African American,FGNY: Some college
6,132733,spring,650.0,,,,VCOM,ARTV-BFA,Y,COND,,Y,m,,Middlesex,,WOODBRIDGE,CSCI,NJ,2022-08-01,Visual Arts,19,,23,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-07-25,WOODBRIDGE VO-TECH,0,IE,,,,Asian,
7,132719,spring,510.0,,,,GENE,HLTH-BS,,COND,,Y,f,,Gloucester,,CLAYTON,HLSC,NJ,2022-07-24,Health Science,18,,15,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-07-19,CLAYTON HIGH SCHOOL,1010,IE,500.0,,,Caucasian or White,FGNN: Graduated from college: Bachelors degree
8,132691,,,,,,,,,COND,,Y,f,,Atlantic,,GALLOWAY,EXSC,NJ,2022-07-05,,18,,1,NJ,I will NOT submit SAT or ACT scores,UGOFFN,FR,,F,,,2022-07-05,ABSEGAMI HIGH SCHOOL,0,IE,,,,Caucasian or White,FGNN: Graduated from college: Bachelors degree
9,132689,,430.0,,,,,,,COND,,Y,m,,Camden,,ATCO,BIOL,NJ,2022-07-05,,18,,7,NJ,I will NOT submit SAT or ACT scores,REJISR,FR,HO,F,,Y,2022-06-30,WINSLOW TWP. HIGH SCHOOL,0,IE,,,,Black or African American,
10,132678,spring,,,,,GENE,CSCI,Y,COND,,Y,m,,Atlantic,,LINWOOD,BCMB,NJ,2022-07-09,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-06-27,MAINLAND REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,
11,132639,spring,420.0,,,,COND,CHEM-BA,Y,COND,,Y,f,,Monmouth,,RED BANK,CHEM,NJ,2022-07-07,Chemistry,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-06-14,RED BANK CATHOLIC HIGH SCHOOL,0,IE,,,,Black or African American,FGNY: High School diploma or GED
12,132635,spring,,,,,MGMT,BUSN-BS,,COND,,Y,f,,Atlantic,,LINWOOD,CSCI,NJ,2022-06-23,Business Studies,21,,1,NJ,I will NOT submit SAT or ACT scores,UGOFFN,FR,,F,ft,,2022-06-13,MAINLAND REGIONAL HIGH SCHOOL,0,IE,,,,Black or African American,FGNN: Graduated from college: Bachelors degree
13,132632,spring,390.0,,,,COND,HLTH-BS,Y,COND,,Y,f,,Monmouth,,RED BANK,HLSC,NJ,2022-06-29,Health Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-06-13,RED BANK CATHOLIC HIGH SCHOOL,0,IE,,,,Black or African American,FGNY: Some trade school or community college
14,132608,spring,,,,,COND,EXSC-BS,Y,COND,,Y,m,,Atlantic,,ATLANTIC CITY,EXSC,NJ,2022-06-12,Exercise Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,SP,,F,ft,,2022-06-02,ATLANTIC CITY HS,0,IE,,,,Black or African American,
15,132573,spring,,,,,MGMT,BUSN-BS,,COND,,Y,m,,Ocean,,LAKEWOOD,CSCI,NJ,2022-07-20,Business Studies,19,,29,NJ,I will NOT submit SAT or ACT scores,REJISR,SP,,F,ft,,2022-06-13,LAKEWOOD HIGH SCHOOL,0,IE,,,,Hispanic or Latino,
16,132564,spring,,,,,GENE,CSCI,,COND,,Y,m,,Atlantic,,EGG HARBOR TOWNSHIP,CSCI,NJ,2022-06-09,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-05-20,EGG HARBOR TOWNSHIP HS,0,IE,,,,Caucasian or White,FGNN: Graduated from college: Bachelors degree
17,132556,spring,460.0,,,,GENE,CSCI,,COND,,Y,m,,Atlantic,,EGG HARBOR CITY,CSCI,NJ,2022-06-26,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-05-18,CEDAR CREEK HIGH SCHOOL,940,IE,480.0,,,Caucasian or White,
